index	path_json	canonical_path_json	type	encrypted	compression_method	compression_name	flag_bits	crc32	compressed_size	uncompressed_size	date_time_json	create_system	create_version	extract_version	external_attr	unix_mode	header_offset	extra_hex	comment_hex
19	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._RESULT.md"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._RESULT.md"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,21,0,16,54]	3	20	20	2175008768	100644	55047	75780b000104f501000004140000005554050001f7495e6a	
20	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/.DS_Store"	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/.DS_Store"	file	false	8	deflated	8	870a98c0	294	6148	[2026,7,22,18,48,38]	3	20	20	2175008768	100644	55295	75780b000104f50100000414000000555405000106a0606a	
21	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._.DS_Store"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._.DS_Store"	file	false	8	deflated	8	38c0880b	53	120	[2026,7,22,18,48,38]	3	20	20	2175008768	100644	55740	75780b000104f50100000414000000555405000106a0606a	
22	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/out/"	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/out"	directory	false	0	stored	0	00000000	0	0	[2026,7,21,0,16,12]	3	20	20	1107099648	040775	55955	75780b000104f501000004140000005554050001cc495e6a	
23	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._out"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._out"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,21,0,16,12]	3	20	20	2180841472	100775	56085	75780b000104f501000004140000005554050001cc495e6a	
24	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/run.sh"	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/run.sh"	file	false	8	deflated	8	30dad14f	523	1174	[2026,7,21,0,6,6]	3	20	20	2179792896	100755	56327	75780b000104f5010000041400000055540500016f475e6a	
25	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._run.sh"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._run.sh"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,21,0,6,6]	3	20	20	2179792896	100755	56998	75780b000104f5010000041400000055540500016f475e6a	
26	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/scripts/"	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/scripts"	directory	false	0	stored	0	00000000	0	0	[2026,7,21,0,3,6]	3	20	20	1107099648	040775	57243	75780b000104f501000004140000005554050001bb465e6a	
27	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._scripts"	"__MACOSX/specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/._scripts"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,21,0,3,6]	3	20	20	2180841472	100775	57377	75780b000104f501000004140000005554050001bb465e6a	
28	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/LEVEL3_REPRO_ANALYSIS.md"	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/LEVEL3_REPRO_ANALYSIS.md"	file	false	8	deflated	8	5daddf49	2365	5928	[2026,7,22,18,35,2]	3	20	20	2175008768	100644	57623	75780b000104f501000004140000005554050001d79c606a	
